Name,NT,Full Time Phd,FRU,Annual_Expenditure_per_Student,Operational_Expenditure_per_Student,Annual_Expenditure_2019,Annual_Expenditure_2018,Annual_Expenditure_2017,Operational_Expenditure_2019,Operational_Expenditure_2018,Operational_Expenditure_2017
Kalasalingam Academy of Research and Education,5694,233,9.81,35902.804622912096,264705.3247848827,78975491.0,75344036.0,58476396.0,638094044.0,491378980.0,439435436.0
Visvesvaraya Technological University,1670,36,20.53,887309.2022274326,420488.75146541616,357405832.0,711053928.0,445289739.0,286080389.0,212149843.0,219123578.0
Defence Institute of Advanced Technology,796,60,16.15,257725.32710280374,582443.9824766355,98867166.0,65274813.0,56470901.0,180962754.0,173763188.0,143846107.0
National Institute of Technology Meghalaya,800,108,13.92,257812.29955947137,532838.0033039647,75333130.0,60253750.0,98506688.0,205017489.0,142603456.0,136195962.0
Maulana Azad National Institute of Technology,4427,220,10.69,56506.52937378954,317288.7796427803,108331306.0,100529487.0,53725049.0,530357705.0,474477096.0,469606158.0
Chandigarh University,13302,188,11.36,51313.90518902891,303356.3776871757,239123009.0,254057012.0,199044560.0,1551410750.0,1485479965.0,1055386820.0
Jawaharlal Nehru Technological University,6516,128,17.99,73377.70650210716,507253.5967790488,173222181.0,163042340.0,151256961.0,1223852804.0,1081620115.0,1064719978.0
"Indraprastha Institute of Information Technology, Delhi",2041,185,20.59,105482.25067385445,391718.5278526505,82870826.0,93549291.0,58383373.0,345921316.0,287950921.0,238093206.0
National Institute of Technology Raipur,4114,325,11.03,50336.510925884206,316969.96958774497,83483802.0,70443629.0,69516341.0,490642794.0,433463420.0,482923481.0
M. S. Ramaiah Institute of Technology,4848,35,9.34,40369.44890436207,354566.23366782715,76061563.0,72146691.0,48915765.0,641287992.0,560017724.0,530041203.0
Lovely Professional University,17780,341,9.07,13707.477512278572,168282.32989349373,138486153.0,92747891.0,17159156.0,1148877920.0,1089079584.0,811486596.0
Banasthali Vidyapith,3624,241,9.3,69681.94566623545,266711.47399741266,91653169.0,78266716.0,99400835.0,416527656.0,377926172.0,236386019.0
Pandit Deendayal Petroleum University,3420,59,12.23,99494.0957171601,335787.82466225926,268834390.0,50780179.0,26525390.0,497639596.0,364702463.0,305863783.0
National Institute of Technology Srinagar,2724,187,16.13,87617.31260735143,532257.2913088286,27897740.0,118777619.0,108378638.0,543710441.0,504512131.0,501178403.0
"Punjab Engineering College (Deemed to be University), Chandigarh",3376,165,13.42,128226.9336345665,446277.8232137814,190913331.0,188992600.0,74145641.0,619385241.0,602960807.0,357923724.0
Thiagarajar College of Engineering,3525,99,8.17,48177.57091611479,304635.2439293598,81189265.0,57514415.0,35891837.0,393943307.0,364365416.0,345689401.0
National Institute of Technology Patna,2878,274,12.55,74161.26459390864,471315.1545050761,75625524.0,66164105.0,91966677.0,522228921.0,523972710.0,439383736.0
Indian Institute of Information Technology Guwahati,693,31,14.28,108373.4267955801,297383.6574585635,33256101.0,25438251.0,19768009.0,93546866.0,68428803.0,53330099.0
College of Engineering (A),2854,103,15.07,540178.1210686506,422958.8099425093,638125145.0,493880721.0,465300838.0,436432092.0,424317894.0,389939215.0
Graphic Era University,3750,38,12.6,254398.22808870117,185120.90813093982,156605488.0,387644000.0,419411000.0,302899000.0,244635000.0,153704000.0
International Institute of Information Technology Bangalore,930,42,15.7,34358.53189300412,612127.0874485597,15561643.0,11076234.0,6758616.0,214131888.0,185313500.0,195542141.0
R.V. College of Engineering,4960,27,8.76,45868.50932424303,337810.12191698415,52976029.0,71362638.0,104407589.0,569838159.0,589614159.0,525206760.0
Sri Krishna College of Engineering and Technology,4596,11,10.83,34861.50488387237,198620.09746038637,65404162.0,53323182.0,41879609.0,388231380.0,318198823.0,208612586.0
Shri Mata Vaishno Devi University,1239,119,13.97,51224.13991163476,563697.7385861562,22142174.0,37052983.0,10367225.0,278911622.0,272562391.0,214027516.0
