Name,NT,Full Time Phd,Annual_Expenditure_2019,Annual_Expenditure_2018,Annual_Expenditure_2017,Operational_Expenditure_2019,Operational_Expenditure_2018,Operational_Expenditure_2017
National Institute of Technology Puducherry,910,55,32022876.0,21176072.0,14996950.0,114056850.0,63746751.0,38914469.0
Anurag University,5166,2,14444093.0,7114485.0,11562582.0,410071922.0,315133931.0,311700148.0
Chandigarh Engineering College,5424,0,7975923.0,7707844.0,13933249.0,317273681.0,271018929.0,245946809.0
"National Institute of Food Technology, Entrepreneurship & Management",879,74,35600000.0,297760529.0,20754316.0,139400000.0,127401034.0,126052608.0
Yeshwantrao Chavan College of Engineering,4346,1,16956034.0,16466043.0,22899037.0,455816016.0,440822202.0,404622577.0
Dr. Vishwanath Karad MIT World Peace University,5760,124,89357716.0,69185461.0,121300553.0,727933174.0,668265066.0,689336443.0
SVKM`s Narsee Monjee Institute of Management Studies,3290,90,1985186.0,2240807.0,8301839.0,399140438.0,311433116.0,290285027.0
BMS Institute of Technology & Management,2772,2,17806995.0,11464375.0,5194289.0,283938677.0,252992990.0,212709411.0
Nirma University,4035,16,41265682.0,51177090.0,38780658.0,560405943.0,521273827.0,527694188.0
"Amity University, Gwalior",680,21,6088950.0,2296817.0,4757537.0,56771598.0,48731963.0,44876453.0
CVR College Of Engineering,5124,2,42330175.0,38203164.0,35286461.0,376989389.0,347215342.0,306431308.0
"Government Engineering College, Thrissur",2410,55,37186950.0,12858633.0,18430059.0,384687876.0,338510124.0,391394207.0
"Jain University, Bangalore",5074,150,32954922.0,63260619.0,20812670.0,376082813.0,291157382.0,191998950.0
Maulana Abul Kalam Azad University of Technology,821,19,2206064.0,1821000.0,6981579.0,63834864.0,41547000.0,55377754.0
Institute of Aeronautical Engineering,4368,0,40515718.0,28085818.0,27907173.0,233908493.0,219522464.0,179397064.0
National Institute of Technology Arunachal Pradesh,980,42,85071195.0,31358086.0,52548005.0,204420314.0,155681577.0,110104718.0
Indira Gandhi Delhi Technical University for Women,1839,63,25904888.0,11506437.0,5355337.0,144461627.0,144377313.0,127328116.0
Sant Longowal Institute of Engineering & Technology,2581,120,31055942.0,22197650.0,37042000.0,465254030.0,505637990.0,349710621.0
"Silicon Institute of Technology (SIT), Bhubaneswar",2268,0,6689622.0,13597363.0,8559266.0,160724575.0,148101123.0,143314307.0
Kongu Engineering College,7338,17,34849093.0,28625203.0,38699147.0,443386457.0,411842992.0,400900393.0
Goka Raju Ranga Raju Institute of Engineering & Technology,5088,0,30620340.0,31883517.0,17756175.0,339689172.0,334289646.0,286181731.0
Annamalai University,4610,131,3533161.0,11723245.0,23704126.0,1123207085.0,1125642982.0,1107730341.0
Rajiv Gandhi Institute of Petroleum Technology,636,49,121211273.0,41467237.0,14803181.0,156018657.0,128062311.0,105283653.0
Nitte Meenakshi Institute of Technology,4566,17,40929149.0,38723853.0,13459072.0,328755326.0,312115950.0,289273147.0
Institute of Engineering & Management,2988,0,64093246.0,42823557.0,36273938.0,238189054.0,160424023.0,182134400.0
R.M.K. Engineering College,3228,4,25393606.0,16370821.0,10912050.0,296518871.0,300119622.0,302628085.0
Noida Institute of Engineering & Technology,5481,0,45323705.0,44963262.0,28837591.0,349242074.0,339465837.0,329276590.0
Hindustan Institute of Technology and Science (HITS),6268,71,31470709.0,53738185.0,47162221.0,348270634.0,336153365.0,327916317.0
Dr. D. Y. Patil Institute of Technology,3624,55,19594883.0,16785853.0,15316424.0,248169747.0,221239273.0,189024042.0
Guru Nanak Dev University,2180,21,19947412.0,17538046.0,16270305.0,33200000.0,32761600.0,36010436.0
Sri Ramakrishna Engineering College,4356,14,10763357.0,14185571.0,10851641.0,238087912.0,244243437.0,239665412.0
KIET Group of Institutions,4695,5,41816000.0,34866000.0,29582000.0,334953000.0,291507000.0,271223000.0
Galgotias University,5606,33,28969479.0,16470211.0,16286959.0,372277541.0,280192712.0,219311980.0
Velagapudi Ramakrishna Siddhartha Engineering College,4902,0,49401880.0,31164017.0,33154101.0,305178092.0,322759861.0,286370243.0
Sharda University,3168,52,19845405.0,2437361.0,11765051.0,200057173.0,147714624.0,137093871.0
KLE Technological University,5200,4,36805075.0,74698038.0,66112537.0,410280621.0,358842280.0,347540645.0
Shri G. S. Institute of Technology & Science,3706,85,35649580.0,48726537.0,10888369.0,483176580.0,423229375.0,342943197.0
North Eastern Regional Institute of Science & Technology,1843,97,42792072.0,28992209.0,3362291.0,596586188.0,605892750.0,531857396.0
St. Josephs College of Engineering,5532,11,13490885.0,7411708.0,8091054.0,292468869.0,301290526.0,312995840.0
Lakshmi Narain College of Technology,4920,0,34092805.0,26818228.0,38328908.0,246235146.0,221290784.0,188734816.0
Centurion  University  of Technology and Management,2245,6,42516752.0,53214152.0,35248204.0,171949338.0,247630265.0,173204145.0
Rabindranath Tagore University,1554,206,9464118.0,10009552.0,4081956.0,47472900.0,48265850.0,41143300.0
National Institute of Technology Uttarakhand,1020,45,11443060.0,7557987.0,16712426.0,164360646.0,120598960.0,114769341.0
JSS Science and Technology University,4572,40,30707266.0,28375427.0,25364860.0,427725261.0,423734351.0,408660944.0
Easwari Engineering College,4320,9,25496618.0,24360465.0,14230738.0,193636716.0,174227369.0,151482967.0
International Institute of Information Technology Bhubaneswar,1250,8,6404660.0,7743883.0,50412700.0,67958642.0,63624201.0,74586487.0
National Engineering College,2696,15,17393644.0,10953566.0,11490994.0,150598836.0,161236173.0,161930071.0
Sona College of Technology,4680,47,24130758.0,23857207.0,21357289.0,218862514.0,211896468.0,210041084.0
C M R Institute of Technology,3936,7,74624871.0,67964405.0,60950183.0,218389334.0,188308427.0,174003715.0
G.L.Bajaj Institute of Technology and Management,4140,0,20977625.0,37671379.0,27792438.0,260707843.0,255274388.0,210502295.0
DIT University,3720,57,24515607.0,28613058.0,10993511.0,252635272.0,237717058.0,223123117.0
The National Institute of Engineering,3600,13,23446577.0,49366387.0,24490591.0,321761335.0,309951407.0,361269386.0
K. J. Somaiya College of Engineering,2616,23,18131096.0,27638187.0,30533758.0,350391536.0,339144759.0,336454867.0
Kakatiya Institute of Technology & Science,3950,0,39754782.0,25315256.0,24667502.0,296380357.0,281339597.0,277370988.0
Walchand College of Engineering,2040,40,46308681.0,41051783.0,37048423.0,276543328.0,247284482.0,244337747.0
Sri Venkateswara University,2395,161,10231638.0,31219379.0,299529321.0,189525936.0,177054192.0,254419611.0
